	ORF1	ORF2
0	YGR154C	YGR154C
0	YGR155W	YGR155W
0	YGR157W	YJR073C
0	YGR157W	YGR157W
0	YGR170W	YGR170W
0	YGR171C	YGR171C
0	YGR175C	YGR175C
0	YGR177C	YOR377W
0	YGR177C	YGR177C
0	YGR177C	YGR015C
0	YGR180C	YGR180C
0	YGR180C	YER070W
0	YGR180C	YJL026W
0	YGR183C	YEL024W
0	YGR185C	YGR185C
0	YGR191W	YBR069C
0	YGR191W	YOL130W
0	YGR192C	YGR192C
0	YGR193C	YFL018C
0	YGR194C	YGR194C
0	YGR202C	YGR202C
0	YGR204W	YGR204W
0	YGR208W	YGR208W
0	YGR209C	YGR209C
0	YGR209C	YDR353W
0	YGR209C	YLR043C
0	YGR216C	YNL038W
0	YGR227W	YGR227W
0	YGR234W	YGR234W
0	YGR240C	YMR205C
0	YGR243W	YGL080W
0	YGR244C	YGR244C
0	YGR244C	YOR142W
0	YGR247W	YGR247W
0	YGR248W	YGR248W
0	YGR254W	YOR393W
0	YGR255C	YGR255C
0	YGR255C	YLR201C
0	YGR255C	YOR125C
0	YGR256W	YHR183W
0	YGR260W	YGR260W
0	YGR264C	YGR264C
0	YGR267C	YGR267C
0	YGR277C	YGR277C
0	YGR282C	YGR282C
0	YGR286C	YGR286C
0	YGR287C	YGR287C
0	YGR289C	YBR298C
0	YGR289C	YGR289C
0	YGR292W	YGR292W
0	YGR292W	YBR299W
0	YGR292W	YGR287C
0	YHR001W-A	YEL024W
0	YJL003W	Q0045
0	YJL005W	YJL005W
0	YJL026W	YJL026W
0	YJL026W	YER070W
0	YJL026W	YGR180C
0	YJL045W	YDR178W
0	YJL046W	YJL046W
0	YJL052W	YGR192C
0	YJL060W	YJL060W
0	YJL060W	YER152C
0	YJL068C	YJL068C
0	YJL071W	YMR062C
0	YJL088W	YJL088W
0	YJL091C	YJL091C
0	YJL097W	YJL097W
0	YJL100W	YLR305C
0	YJL100W	YJL100W
0	YJL101C	YJL101C
0	YJL121C	YJL121C
0	YJL126W	YJL126W
0	YJL129C	YDR456W
0	YJL130C	YJL130C
0	YJL133W	YJL133W
0	YJL134W	YKR053C
0	YJL137C	YFR015C
0	YJL139C	YOR099W
0	YJL153C	YJL153C
0	YJL155C	YJL155C
0	YJL166W	YEL024W
0	YJL167W	YJL167W
0	YJL168C	YDR440W
0	YJL196C	YJL196C
0	YJL198W	YJL198W
0	YJL198W	YBR296C
0	YJL200C	YJL200C
0	YJL212C	YJL212C
0	YJL214W	YJL219W
0	YJL214W	YNR072W
0	YJL214W	YHR096C
0	YJL214W	YDL245C
0	YJL216C	YGR287C
0	YJL219W	YJL219W
0	YJL219W	YNR072W
0	YJL219W	YHR096C
0	YJL219W	YDL245C
0	YJL219W	YNL318C
0	YJL221C	YGR287C
0	YJR001W	YJR001W
0	YJR009C	YGR192C
0	YJR010W	YJR010W
0	YJR013W	YJR013W
0	YJR016C	YJR016C
0	YJR019C	YJR019C
0	YJR024C	YJR024C
0	YJR025C	YJR025C
0	YJR040W	YJR040W
0	YJR048W	YJR048W
0	YJR048W	YEL039C
0	YJR048W	Q0045
0	YJR048W	YEL024W
0	YJR049C	YJR049C
0	YJR049C	YEL041W
0	YJR049C	YPL188W
0	YJR051W	YJR051W
0	YJR057W	YJR057W
0	YJR069C	YJR069C
0	YJR073C	YJR073C
0	YJR073C	YGR157W
0	YJR077C	YER053C
0	YJR078W	YJR078W
0	YJR095W	YJR095W
0	YJR103W	YJR103W
0	YJR103W	YBL039C
0	YJR104C	YJR104C
0	YJR105W	YJR105W
0	YJR109C	YJL130C
0	YJR110W	YOR109W
0	YJR110W	YJR110W
0	YJR110W	YNL106C
0	YJR121W	YPL271W
0	YJR130C	YLL058W
0	YJR130C	YJR130C
0	YJR131W	YJR131W
0	YJR133W	YJR133W
0	YJR137C	YFR030W
0	YJR139C	YJR139C
0	YJR143C	YAL023C
0	YJR148W	YJR148W
0	YJR148W	YGL202W
0	YJR149W	YJR149W
0	YJR152W	YJR152W
0	YJR152W	YKR093W
0	YJR153W	YJR153W
0	YJR155W	YJR155W
0	YJR155W	YCR107W
0	YJR155W	YDL243C
0	YJR155W	YNL331C
0	YJR158W	YDL245C
0	YJR158W	YHR096C
0	YJR158W	YNR072W
0	YJR158W	YJL219W
0	YJR158W	YEL069C
0	YJR159W	YJR159W
0	YJR159W	YDL246C
0	YJR160C	YNR072W
0	YJR160C	YBR298C
0	YLL001W	YER005W
0	YLL012W	YLL012W
0	YLL012W	YKL140W
0	YLL015W	YDR135C
0	YLL018C	YLL018C
0	YLL028W	YHL016C
0	YLL028W	YOR273C
0	YLL028W	YPR156C
0	YLL028W	YLL028W
0	YLL031C	YDR302W
0	YLL041C	YDR178W
0	YLL043W	YFL054C
0	YLL043W	YDL245C
0	YLL048C	YLL048C
0	YLL051C	YLL051C
0	YLL052C	YPR192W
0	YLL052C	YLL052C
